date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Mon, Mar 17, 2014",@,L,8:00p,L 5,46,Houston Rockets,124,,86,22
"Wed, Mar 19, 2014",@,L,8:00p,L 6,47,Memphis Grizzlies,96,,86,22
"Sat, Mar 22, 2014",,W,9:00p,W 1,47,Orlando Magic,88,,89,23
"Mon, Mar 24, 2014",,L,9:00p,L 1,48,Detroit Pistons,114,,94,23
"Wed, Mar 26, 2014",,L,10:30p,L 2,49,Memphis Grizzlies,91,,87,23
"Fri, Mar 28, 2014",@,L,8:00p,L 3,50,New Orleans Pelicans,102,,95,23
"Sun, Mar 30, 2014",@,L,3:00p,L 4,51,Oklahoma City Thunder,116,,96,23
"Mon, Mar 31, 2014",,L,9:00p,L 5,52,New York Knicks,92,,83,23
"Fri, Apr 4, 2014",,W,9:00p,W 1,52,New Orleans Pelicans,96,,100,24
"Sun, Apr 6, 2014",@,L,9:00p,L 1,53,Golden State Warriors,130,,102,24
"Tue, Apr 8, 2014",,L,9:00p,L 2,54,Dallas Mavericks,95,,83,24
"Fri, Apr 11, 2014",,L,9:00p,L 3,55,Portland Trail Blazers,111,,99,24
"Sat, Apr 12, 2014",@,L,9:00p,L 4,56,Denver Nuggets,101,,94,24
"Mon, Apr 14, 2014",,L,9:00p,L 5,57,Los Angeles Lakers,119,,104,24
"Wed, Apr 16, 2014",@,W,8:00p,W 1,57,Minnesota Timberwolves,130,2OT,136,25
