date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Fri, Mar 21, 2014",@,W,7:30p,W 1,40,Atlanta Hawks,105,,111,28
"Sat, Mar 22, 2014",,W,8:00p,W 2,40,Miami Heat,95,,105,29
"Mon, Mar 24, 2014",,W,8:00p,W 3,40,Brooklyn Nets,104,OT,109,30
"Wed, Mar 26, 2014",,W,8:00p,W 4,40,Los Angeles Clippers,96,,98,31
"Fri, Mar 28, 2014",,W,8:00p,W 5,40,Utah Jazz,95,,102,32
"Sat, Mar 29, 2014",@,L,8:30p,L 1,41,San Antonio Spurs,96,,80,32
"Mon, Mar 31, 2014",,L,8:00p,L 2,42,Sacramento Kings,102,,97,32
"Wed, Apr 2, 2014",@,L,9:00p,L 3,43,Denver Nuggets,137,,107,32
"Fri, Apr 4, 2014",@,L,9:00p,L 4,44,Utah Jazz,100,,96,32
"Sun, Apr 6, 2014",@,L,9:00p,L 5,45,Portland Trail Blazers,100,,94,32
"Wed, Apr 9, 2014",,L,8:00p,L 6,46,Phoenix Suns,94,,88,32
"Fri, Apr 11, 2014",@,L,8:00p,L 7,47,Oklahoma City Thunder,116,,94,32
"Sat, Apr 12, 2014",@,L,8:00p,L 8,48,Houston Rockets,111,,104,32
"Mon, Apr 14, 2014",,W,8:00p,W 1,48,Oklahoma City Thunder,89,,101,33
"Wed, Apr 16, 2014",,W,8:00p,W 2,48,Houston Rockets,100,,105,34
