games,date_game,odd_home_team,odd_away_team
UTA-MEM,2015-11-07,"1,70","2,10"
CLE-IND,2015-11-08,"1,22","4,20"
MIA-TOR,2015-11-08,"1,65","2,20"
NYK-LAL,2015-11-08,"1,45","2,70"
OKC-PHO,2015-11-08,"1,22","4,20"
POR-DET,2015-11-08,"1,75","2,05"
ATL-MIN,2015-11-09,"1,20","4,50"
DEN-POR,2015-11-09,"2,00","1,80"
GSW-DET,2015-11-09,"1,05","9,00"
IND-ORL,2015-11-09,"1,50","2,55"
LAC-MEM,2015-11-09,"1,30","3,40"
PHI-CHI,2015-11-09,"5,70","1,13"
SAC-SAS,2015-11-09,"3,80","1,25"
CLE-UTA,2015-11-10,"1,35","3,10"
MIA-LAL,2015-11-10,"1,08","7,50"
MIL-BOS,2015-11-10,"2,00","1,75"
MIN-CHO,2015-11-10,"2,40","1,55"
NOP-DAL,2015-11-10,"1,80","2,00"
TOR-NYK,2015-11-10,"1,25","3,80"
WAS-OKC,2015-11-10,"3,70","1,27"
ATL-NOP,2015-11-11,"1,07","8,00"
BOS-IND,2015-11-11,"1,55","2,40"
CHO-NYK,2015-11-11,"1,32","3,30"
DAL-LAC,2015-11-11,"3,40","1,30"
DEN-MIL,2015-11-11,"1,60","2,30"
HOU-BRK,2015-11-11,"1,07","8,00"
MEM-GSW,2015-11-11,"3,70","1,27"
ORL-LAL,2015-11-11,"1,25","3,80"
PHI-TOR,2015-11-11,"5,20","1,15"
POR-SAS,2015-11-11,"3,40","1,30"
SAC-DET,2015-11-11,"2,00","1,80"
MIA-UTA,2015-11-12,"1,50","2,50"
MIN-GSW,2015-11-12,"5,30","1,15"
PHO-LAC,2015-11-12,"1,90","1,90"
BOS-ATL,2015-11-13,"1,85","1,95"
CHI-CHO,2015-11-13,"1,30","3,40"
DAL-LAL,2015-11-13,"1,25","3,80"
DEN-HOU,2015-11-13,"3,10","1,35"
IND-MIN,2015-11-13,"1,30","3,40"
MEM-POR,2015-11-13,"1,32","3,30"
NYK-CLE,2015-11-13,"3,10","1,35"
OKC-PHI,2015-11-13,"1,05","9,00"
ORL-UTA,2015-11-13,"2,00","1,80"
SAC-BRK,2015-11-13,"1,35","3,10"
TOR-NOP,2015-11-13,"1,17","4,80"
GSW-BRK,2015-11-14,"1,01",15
HOU-DAL,2015-11-14,"1,27","3,70"
LAC-DET,2015-11-14,"1,70","2,10"
MIL-CLE,2015-11-14,"2,90","1,40"
PHO-DEN,2015-11-14,"1,25","3,80"
SAS-PHI,2015-11-14,"1,01",15
WAS-ORL,2015-11-14,"1,40","2,90"
ATL-UTA,2015-11-15,"1,60","2,30"
CHO-POR,2015-11-15,"1,50","2,55"
LAL-DET,2015-11-15,"2,70","1,45"
MIN-MEM,2015-11-15,"2,55","1,50"
NYK-NOP,2015-11-15,"1,75","2,05"
OKC-BOS,2015-11-15,"1,40","2,90"
SAC-TOR,2015-11-15,"2,10","1,70"
CHI-IND,2015-11-16,"1,32","3,30"
HOU-BOS,2015-11-16,"1,45","2,70"
MEM-OKC,2015-11-16,"1,65","2,20"
PHI-DAL,2015-11-16,"4,20","1,22"
PHO-LAL,2015-11-16,"1,10","6,50"
SAS-POR,2015-11-16,"1,08","7,50"
BRK-ATL,2015-11-17,"2,55","1,50"
DET-CLE,2015-11-17,"2,55","1,50"
GSW-TOR,2015-11-17,"1,17","4,80"
MIA-MIN,2015-11-17,"1,22","4,20"
NOP-DEN,2015-11-17,"1,35","3,10"
NYK-CHO,2015-11-17,"1,95","1,85"
WAS-MIL,2015-11-17,"1,60","2,30"
ATL-SAC,2015-11-18,"1,65","2,10"
BOS-DAL,2015-11-18,"1,45","2,70"
CHO-BRK,2015-11-18,"1,30","3,40"
HOU-POR,2015-11-18,"1,30","3,40"
OKC-NOP,2015-11-18,"1,10","6,50"
ORL-MIN,2015-11-18,"1,50","2,50"
PHI-IND,2015-11-18,"3,40","1,30"
PHO-CHI,2015-11-18,"1,60","2,30"
SAS-DEN,2015-11-18,"1,05","9,00"
UTA-TOR,2015-11-18,"1,55","2,40"
CLE-MIL,2015-11-19,"1,12","6,00"
LAC-GSW,2015-11-19,"2,90","1,40"
MIA-SAC,2015-11-19,"1,15","5,30"
BOS-BRK,2015-11-20,"1,20","4,40"
CHO-PHI,2015-11-20,"1,12","6,00"
