date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Wed, Oct 31, 2012",@,W,8:00p,W 1,0,New Orleans Hornets,95,,99,1
"Thu, Nov 1, 2012",,W,9:30p,W 2,0,Oklahoma City Thunder,84,,86,2
"Sat, Nov 3, 2012",,W,8:30p,W 3,0,Utah Jazz,100,,110,3
"Mon, Nov 5, 2012",,W,8:30p,W 4,0,Indiana Pacers,79,,101,4
"Wed, Nov 7, 2012",@,L,10:30p,L 1,1,Los Angeles Clippers,106,,84,4
"Fri, Nov 9, 2012",@,W,10:00p,W 1,1,Sacramento Kings,86,,97,5
"Sat, Nov 10, 2012",@,W,10:00p,W 2,1,Portland Trail Blazers,109,,112,6
"Tue, Nov 13, 2012",@,W,10:30p,W 3,1,Los Angeles Lakers,82,,84,7
"Thu, Nov 15, 2012",,L,8:30p,L 1,2,New York Knicks,104,,100,7
"Sat, Nov 17, 2012",,W,8:30p,W 1,2,Denver Nuggets,100,,126,8
"Mon, Nov 19, 2012",,L,8:30p,L 1,3,Los Angeles Clippers,92,,87,8
"Wed, Nov 21, 2012",@,W,7:30p,W 1,3,Boston Celtics,100,,112,9
"Fri, Nov 23, 2012",@,W,8:00p,W 2,3,Indiana Pacers,97,,104,10
"Sun, Nov 25, 2012",@,W,1:00p,W 3,3,Toronto Raptors,106,2OT,111,11
"Mon, Nov 26, 2012",@,W,7:00p,W 4,3,Washington Wizards,92,,118,12
"Wed, Nov 28, 2012",@,W,7:00p,W 5,3,Orlando Magic,89,,110,13
"Thu, Nov 29, 2012",@,L,8:00p,L 1,4,Miami Heat,105,,100,13
"Sat, Dec 1, 2012",,W,8:30p,W 1,4,Memphis Grizzlies,95,OT,99,14
"Wed, Dec 5, 2012",,W,8:30p,W 2,4,Milwaukee Bucks,99,,110,15
"Fri, Dec 7, 2012",,W,8:30p,W 3,4,Houston Rockets,92,,114,16
"Sat, Dec 8, 2012",@,W,7:00p,W 4,4,Charlotte Bobcats,102,,132,17
"Mon, Dec 10, 2012",@,W,8:00p,W 5,4,Houston Rockets,126,OT,134,18
"Wed, Dec 12, 2012",@,L,10:30p,L 1,5,Utah Jazz,99,,96,18
"Thu, Dec 13, 2012",@,L,10:30p,L 2,6,Portland Trail Blazers,98,,90,18
