date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Wed, Oct 31, 2012",,W,10:30p,W 1,0,Memphis Grizzlies,92,,101,1
"Fri, Nov 2, 2012",@,W,10:30p,W 2,0,Los Angeles Lakers,95,,105,2
"Sat, Nov 3, 2012",,L,10:30p,L 1,1,Golden State Warriors,114,,110,2
"Mon, Nov 5, 2012",,L,10:30p,L 2,2,Cleveland Cavaliers,108,,101,2
"Wed, Nov 7, 2012",,W,10:30p,W 1,2,San Antonio Spurs,84,,106,3
"Thu, Nov 8, 2012",@,W,10:30p,W 2,2,Portland Trail Blazers,90,,103,4
"Sun, Nov 11, 2012",,W,3:30p,W 3,2,Atlanta Hawks,76,,89,5
"Wed, Nov 14, 2012",,W,10:30p,W 4,2,Miami Heat,100,,107,6
"Sat, Nov 17, 2012",,W,9:00p,W 5,2,Chicago Bulls,80,,101,7
"Mon, Nov 19, 2012",@,W,8:30p,W 6,2,San Antonio Spurs,87,,92,8
"Wed, Nov 21, 2012",@,L,7:30p,L 1,3,Oklahoma City Thunder,117,OT,111,8
"Fri, Nov 23, 2012",@,L,7:30p,L 2,4,Brooklyn Nets,86,,76,8
"Sat, Nov 24, 2012",@,L,7:00p,L 3,5,Atlanta Hawks,104,,93,8
"Mon, Nov 26, 2012",,L,10:30p,L 4,6,New Orleans Hornets,105,,98,8
"Wed, Nov 28, 2012",,W,10:30p,W 1,6,Minnesota Timberwolves,95,,101,9
"Sat, Dec 1, 2012",,W,10:30p,W 2,6,Sacramento Kings,81,,116,10
"Mon, Dec 3, 2012",@,W,9:00p,W 3,6,Utah Jazz,104,,105,11
"Wed, Dec 5, 2012",,W,10:30p,W 4,6,Dallas Mavericks,90,,112,12
"Sat, Dec 8, 2012",,W,3:30p,W 5,6,Phoenix Suns,99,,117,13
"Sun, Dec 9, 2012",,W,3:30p,W 6,6,Toronto Raptors,83,,102,14
"Tue, Dec 11, 2012",@,W,9:30p,W 7,6,Chicago Bulls,89,,94,15
"Wed, Dec 12, 2012",@,W,7:30p,W 8,6,Charlotte Bobcats,94,,100,16
"Sat, Dec 15, 2012",@,W,8:30p,W 9,6,Milwaukee Bucks,85,,111,17
"Mon, Dec 17, 2012",@,W,7:30p,W 10,6,Detroit Pistons,76,,88,18
"Wed, Dec 19, 2012",,W,10:30p,W 11,6,New Orleans Hornets,77,,93,19
"Fri, Dec 21, 2012",,W,10:30p,W 12,6,Sacramento Kings,85,,97,20
"Sun, Dec 23, 2012",@,W,8:00p,W 13,6,Phoenix Suns,77,,103,21
"Tue, Dec 25, 2012",,W,10:30p,W 14,6,Denver Nuggets,100,,112,22
"Thu, Dec 27, 2012",,W,10:30p,W 15,6,Boston Celtics,77,,106,23
"Fri, Dec 28, 2012",@,W,9:00p,W 16,6,Utah Jazz,114,,116,24
"Sun, Dec 30, 2012",,W,9:30p,W 17,6,Utah Jazz,96,,107,25
"Tue, Jan 1, 2013",@,L,9:00p,L 1,7,Denver Nuggets,92,,78,25
"Wed, Jan 2, 2013",@,L,10:30p,L 2,8,Golden State Warriors,115,,94,25
"Fri, Jan 4, 2013",,W,10:30p,W 1,8,Los Angeles Lakers,102,,107,26
"Sat, Jan 5, 2013",,W,10:30p,W 2,8,Golden State Warriors,89,,115,27
"Wed, Jan 9, 2013",,W,10:30p,W 3,8,Dallas Mavericks,93,,99,28
"Sat, Jan 12, 2013",,L,3:30p,L 1,9,Orlando Magic,104,,101,28
"Mon, Jan 14, 2013",@,W,8:00p,W 1,9,Memphis Grizzlies,73,,99,29
"Tue, Jan 15, 2013",@,W,8:00p,W 2,9,Houston Rockets,109,,117,30
"Thu, Jan 17, 2013",@,W,8:00p,W 3,9,Minnesota Timberwolves,77,,90,31
"Sat, Jan 19, 2013",,W,10:30p,W 4,9,Washington Wizards,87,,94,32
