games,date_game,odd_home_team,odd_away_team
CLE-NYK,2016-10-25,"1,18","4,80"
GSW-SAS,2016-10-25,"1,20","4,50"
POR-UTA,2016-10-25,"1,35","3,10"
BOS-BRK,2016-10-26,"1,08","7,50"
IND-DAL,2016-10-26,"1,40","2,90"
LAL-HOU,2016-10-26,"2,90","1,40"
MEM-MIN,2016-10-26,"1,95","1,85"
MIL-CHO,2016-10-26,"2,00","1,80"
NOP-DEN,2016-10-26,"1,80","2,00"
ORL-MIA,2016-10-26,"1,60","2,30"
PHI-OKC,2016-10-26,"4,80","1,17"
PHO-SAC,2016-10-26,"1,60","2,30"
TOR-DET,2016-10-26,"1,30","3,40"
ATL-WAS,2016-10-27,"1,50","2,55"
CHI-BOS,2016-10-27,"1,80","2,00"
POR-LAC,2016-10-27,"2,10","1,70"
SAC-SAS,2016-10-27,"4,20","1,22"
BRK-IND,2016-10-28,"2,90","1,40"
DAL-HOU,2016-10-28,"2,10","1,70"
DET-ORL,2016-10-28,"1,55","2,40"
MIA-CHO,2016-10-28,"1,95","1,85"
NOP-GSW,2016-10-28,"6,00","1,12"
OKC-PHO,2016-10-28,"1,22","4,20"
TOR-CLE,2016-10-28,"2,20","1,65"
UTA-LAL,2016-10-28,"1,17","4,80"
CHI-IND,2016-10-29,"1,60","2,30"
CHO-BOS,2016-10-29,"2,20","1,65"
CLE-ORL,2016-10-29,"1,10","6,50"
DEN-POR,2016-10-29,"1,90","1,90"
MIL-BRK,2016-10-29,"1,25","3,80"
NYK-MEM,2016-10-29,"1,70","2,10"
PHI-ATL,2016-10-29,"3,80","1,25"
SAC-MIN,2016-10-29,"1,95","1,85"
SAS-NOP,2016-10-29,"1,03",11
DET-MIL,2016-10-30,"1,25","3,80"
HOU-DAL,2016-10-30,"1,50","2,55"
LAC-UTA,2016-10-30,"1,30","3,40"
MEM-WAS,2016-10-30,"2,30","1,60"
MIA-SAS,2016-10-30,"3,10","1,35"
OKC-LAL,2016-10-30,"1,22","4,20"
PHO-GSW,2016-10-30,"6,50","1,10"
ATL-SAC,2016-10-31,"1,30","3,20"
BRK-CHI,2016-10-31,"3,10","1,35"
LAC-PHO,2016-10-31,"1,08","7,50"
TOR-DEN,2016-10-31,"1,30","3,40"
CLE-HOU,2016-11-01,"1,15","5,20"
DET-NYK,2016-11-01,"1,50","2,55"
IND-LAL,2016-11-01,"1,20","4,50"
MIA-SAC,2016-11-01,"1,55","2,40"
MIN-MEM,2016-11-01,"1,30","3,40"
NOP-MIL,2016-11-01,"1,55","2,40"
PHI-ORL,2016-11-01,"2,70","1,45"
POR-GSW,2016-11-01,"2,70","1,45"
SAS-UTA,2016-11-01,"1,15","5,20"
ATL-LAL,2016-11-02,"1,10","6,50"
BOS-CHI,2016-11-02,"1,60","2,30"
BRK-DET,2016-11-02,"2,40","1,55"
CHO-PHI,2016-11-02,"1,07","8,00"
LAC-OKC,2016-11-02,"1,27","3,70"
MEM-NOP,2016-11-02,"1,35","3,10"
NYK-HOU,2016-11-02,"1,95","1,85"
PHO-POR,2016-11-02,"2,20","1,65"
UTA-DAL,2016-11-02,"1,55","2,40"
WAS-TOR,2016-11-02,"1,90","1,90"
CLE-BOS,2016-11-03,"1,12","6,00"
GSW-OKC,2016-11-03,"1,10","6,50"
MIL-IND,2016-11-03,"2,20","1,65"
MIN-DEN,2016-11-03,"1,60","2,30"
ORL-SAC,2016-11-03,"1,95","1,85"
BRK-CHO,2016-11-04,"3,40","1,30"
CHI-NYK,2016-11-04,"1,30","3,40"
DAL-POR,2016-11-04,"2,30","1,60"
LAL-GSW,2016-11-04,"6,00","1,12"
MEM-LAC,2016-11-04,"2,90","1,40"
NOP-PHO,2016-11-04,"1,65","2,20"
TOR-MIA,2016-11-04,"1,30","3,40"
UTA-SAS,2016-11-04,"2,40","1,55"
WAS-ATL,2016-11-04,"1,85","1,95"
ATL-HOU,2016-11-05,"1,60","2,30"
DET-DEN,2016-11-05,"1,45","2,70"
IND-CHI,2016-11-05,"1,60","2,30"
MIL-SAC,2016-11-05,"1,60","2,30"
OKC-MIN,2016-11-05,"1,45","2,70"
ORL-WAS,2016-11-05,"1,40","2,90"
PHI-CLE,2016-11-05,"9,00","1,05"
SAS-LAC,2016-11-05,"1,45","2,55"
BOS-DEN,2016-11-06,"1,27","3,70"
DAL-MIL,2016-11-06,"1,65","2,20"
LAL-PHO,2016-11-06,"1,55","2,40"
MEM-POR,2016-11-06,"1,85","1,95"
NYK-UTA,2016-11-06,"2,05","1,75"
TOR-SAC,2016-11-06,"1,27","3,70"
CHI-ORL,2016-11-07,"1,30","3,40"
CHO-IND,2016-11-07,"1,60","2,30"
GSW-NOP,2016-11-07,"1,01",15
LAC-DET,2016-11-07,"1,20","4,50"
OKC-MIA,2016-11-07,"1,40","2,90"
PHI-UTA,2016-11-07,"2,90","1,40"
WAS-HOU,2016-11-07,"1,80","2,00"
BRK-MIN,2016-11-08,"2,40","1,55"
CLE-ATL,2016-11-08,"1,25","3,80"
LAL-DAL,2016-11-08,"1,50","2,60"
MEM-DEN,2016-11-08,"1,55","2,40"
POR-PHO,2016-11-08,"1,25","3,80"
SAC-NOP,2016-11-08,"1,35","3,10"
ATL-CHI,2016-11-09,"1,60","2,30"
CHO-UTA,2016-11-09,"1,65","2,20"
GSW-DAL,2016-11-09,"1,02",12
IND-PHI,2016-11-09,"1,10","6,50"
LAC-POR,2016-11-09,"1,15","5,20"
NYK-BRK,2016-11-09,"1,25","3,80"
OKC-TOR,2016-11-09,"1,60","2,30"
ORL-MIN,2016-11-09,"1,65","2,20"
PHO-DET,2016-11-09,"2,40","1,55"
SAS-HOU,2016-11-09,"1,22","4,20"
WAS-BOS,2016-11-09,"1,85","1,95"
DEN-GSW,2016-11-10,"3,10","1,35"
MIA-CHI,2016-11-10,"1,80","2,00"
MIL-NOP,2016-11-10,"1,45","2,70"
SAC-LAL,2016-11-10,"1,45","2,70"
BOS-NYK,2016-11-11,"1,45","2,70"
CHO-TOR,2016-11-11,"1,90","1,90"
OKC-LAC,2016-11-11,"2,60","1,47"
ORL-UTA,2016-11-11,"2,70","1,45"
PHI-IND,2016-11-11,"2,70","1,40"
POR-SAC,2016-11-11,"1,30","3,40"
SAS-DET,2016-11-11,"1,20","4,40"
WAS-CLE,2016-11-11,"3,60","1,28"
ATL-PHI,2016-11-12,"1,03",11
CHI-WAS,2016-11-12,"1,15","5,20"
DEN-DET,2016-11-12,"1,45","2,70"
HOU-SAS,2016-11-12,"2,00","1,80"
IND-BOS,2016-11-12,"2,00","1,80"
MIA-UTA,2016-11-12,"1,95","1,85"
MIL-MEM,2016-11-12,"1,60","2,20"
MIN-LAC,2016-11-12,"2,70","1,45"
NOP-LAL,2016-11-12,"1,90","1,90"
PHO-BRK,2016-11-12,"1,50","2,55"
TOR-NYK,2016-11-12,"1,30","3,40"
CLE-CHO,2016-11-13,"1,25","3,80"
GSW-PHO,2016-11-13,"1,01",11
MIN-LAL,2016-11-13,"1,85","1,85"
OKC-ORL,2016-11-13,"1,17","4,80"
POR-DEN,2016-11-13,"1,30","3,40"
DET-OKC,2016-11-14,"2,00","1,80"
HOU-PHI,2016-11-14,"1,10","6,50"
IND-ORL,2016-11-14,"1,25","3,80"
LAC-BRK,2016-11-14,"1,01",15
NOP-BOS,2016-11-14,"2,40","1,55"
NYK-DAL,2016-11-14,"1,50","2,50"
SAS-MIA,2016-11-14,"1,08","6,50"
UTA-MEM,2016-11-14,"1,35","3,10"
CLE-TOR,2016-11-15,"1,35","3,10"
LAL-BRK,2016-11-15,"1,32","3,30"
MIA-ATL,2016-11-15,"3,40","1,30"
MIN-CHO,2016-11-15,"1,90","1,90"
POR-CHI,2016-11-15,"1,50","2,50"
ATL-MIL,2016-11-16,"1,42","2,80"
BOS-DAL,2016-11-16,"1,35","3,10"
DEN-PHO,2016-11-16,"1,50","2,55"
IND-CLE,2016-11-16,"1,70","2,10"
LAC-MEM,2016-11-16,"1,06","8,00"
NYK-DET,2016-11-16,"1,75","2,05"
OKC-HOU,2016-11-16,"1,65","2,10"
ORL-NOP,2016-11-16,"1,30","3,40"
PHI-WAS,2016-11-16,"3,30","1,32"
SAC-SAS,2016-11-16,"2,90","1,40"
TOR-GSW,2016-11-16,"2,90","1,40"
HOU-POR,2016-11-17,"1,45","2,70"
MIA-MIL,2016-11-17,"1,55","2,40"
MIN-PHI,2016-11-17,"1,10","6,50"
UTA-CHI,2016-11-17,"1,70","2,10"
WAS-NYK,2016-11-17,"1,50","2,55"
BOS-GSW,2016-11-18,"3,80","1,25"
CHO-ATL,2016-11-18,"1,75","2,05"
CLE-DET,2016-11-18,"1,20","4,50"
DAL-MEM,2016-11-18,"2,40","1,55"
DEN-TOR,2016-11-18,"2,40","1,55"
IND-PHO,2016-11-18,"1,50","2,50"
LAL-SAS,2016-11-18,"3,80","1,25"
NOP-POR,2016-11-18,"1,90","1,90"
OKC-BRK,2016-11-18,"1,17","4,80"
SAC-LAC,2016-11-18,"3,90","1,25"
DET-BOS,2016-11-19,"1,70","2,10"
HOU-UTA,2016-11-19,"1,30","3,40"
LAC-CHI,2016-11-19,"1,25","3,90"
MEM-MIN,2016-11-19,"1,90","1,85"
MIL-GSW,2016-11-19,"4,50","1,20"
NOP-CHO,2016-11-19,"2,00","1,75"
ORL-DAL,2016-11-19,"1,25","3,80"
PHI-PHO,2016-11-19,"2,10","1,70"
WAS-MIA,2016-11-19,"1,45","2,70"
BRK-POR,2016-11-20,"2,40","1,55"
DEN-UTA,2016-11-20,"1,60","2,30"
LAL-CHI,2016-11-20,"1,75","2,05"
NYK-ATL,2016-11-20,"2,55","1,50"
OKC-IND,2016-11-20,"1,17","4,80"
SAC-TOR,2016-11-20,"2,30","1,60"
CHO-MEM,2016-11-21,"1,45","2,70"
DET-HOU,2016-11-21,"2,10","1,70"
IND-GSW,2016-11-21,"9,00","1,03"
LAC-TOR,2016-11-21,"1,18","4,70"
MIL-ORL,2016-11-21,"1,35","3,10"
MIN-BOS,2016-11-21,"2,00","1,75"
PHI-MIA,2016-11-21,"2,55","1,50"
SAS-DAL,2016-11-21,"1,02",10
WAS-PHO,2016-11-21,"1,25","3,80"
ATL-NOP,2016-11-22,"1,22","4,10"
DEN-CHI,2016-11-22,"2,05","1,75"
LAL-OKC,2016-11-22,"2,20","1,65"
NYK-POR,2016-11-22,"1,80","2,00"
BRK-BOS,2016-11-23,"3,70","1,27"
CHO-SAS,2016-11-23,"2,70","1,45"
CLE-POR,2016-11-23,"1,08","7,50"
DAL-LAC,2016-11-23,"6,00","1,12"
DET-MIA,2016-11-23,"1,45","2,70"
GSW-LAL,2016-11-23,"1,00",18
HOU-TOR,2016-11-23,"1,55","2,40"
IND-ATL,2016-11-23,"2,00","1,80"
NOP-MIN,2016-11-23,"2,10","1,70"
ORL-PHO,2016-11-23,"1,55","2,40"
PHI-MEM,2016-11-23,"2,90","1,40"
SAC-OKC,2016-11-23,"1,70","2,10"
UTA-DEN,2016-11-23,"1,30","3,40"
BOS-SAS,2016-11-25,"2,30","1,60"
CLE-DAL,2016-11-25,"1,03",11
DEN-OKC,2016-11-25,"2,10","1,70"
DET-LAC,2016-11-25,"3,10","1,35"
IND-BRK,2016-11-25,"1,35","3,10"
LAL-GSW,2016-11-25,"9,00","1,05"
MEM-MIA,2016-11-25,"1,45","2,70"
MIL-TOR,2016-11-25,"2,30","1,60"
NYK-CHO,2016-11-25,"2,00","1,80"
ORL-WAS,2016-11-25,"2,05","1,75"
PHI-CHI,2016-11-25,"4,80","1,17"
PHO-MIN,2016-11-25,"2,00","1,80"
POR-NOP,2016-11-25,"1,50","2,60"
SAC-HOU,2016-11-25,"2,30","1,60"
UTA-ATL,2016-11-25,"1,55","2,40"
CHO-NYK,2016-11-26,"1,40","2,90"
GSW-MIN,2016-11-26,"1,07","8,00"
MIA-MEM,2016-11-26,"2,00","1,80"
OKC-DET,2016-11-26,"1,55","2,40"
WAS-SAS,2016-11-26,"3,10","1,35"
BRK-SAC,2016-11-27,"2,70","1,45"
DAL-NOP,2016-11-27,"2,70","1,45"
IND-LAC,2016-11-27,"6,50","1,10"
LAL-ATL,2016-11-27,"2,70","1,45"
ORL-MIL,2016-11-27,"1,85","1,95"
PHI-CLE,2016-11-27,"6,50","1,10"
PHO-DEN,2016-11-27,"1,75","2,05"
POR-HOU,2016-11-27,"2,05","1,75"
GSW-ATL,2016-11-28,"1,05","9,00"
MEM-CHO,2016-11-28,"1,95","1,85"
MIA-BOS,2016-11-28,"2,55","1,50"
MIN-UTA,2016-11-28,"2,10","1,70"
NYK-OKC,2016-11-28,"1,90","1,90"
TOR-PHI,2016-11-28,"1,03",11
WAS-SAC,2016-11-28,"1,50","2,55"
BRK-LAC,2016-11-29,"5,30","1,15"
CHO-DET,2016-11-29,"1,65","2,20"
MIL-CLE,2016-11-29,"3,70","1,27"
NOP-LAL,2016-11-29,"1,40","2,90"
SAS-ORL,2016-11-29,"1,07","8,00"
UTA-HOU,2016-11-29,"2,00","1,80"
BOS-DET,2016-11-30,"1,30","3,40"
CHI-LAL,2016-11-30,"1,17","4,80"
DAL-SAS,2016-11-30,"4,40","1,20"
DEN-MIA,2016-11-30,"1,40","2,90"
MIN-NYK,2016-11-30,"1,55","2,40"
OKC-WAS,2016-11-30,"1,40","2,90"
PHO-ATL,2016-11-30,"2,55","1,50"
POR-IND,2016-11-30,"1,30","3,40"
TOR-MEM,2016-11-30,"1,05","9,00"
BRK-MIL,2016-12-01,"2,90","1,40"
CHO-DAL,2016-12-01,"1,10","6,50"
CLE-LAC,2016-12-01,"1,55","2,40"
GSW-HOU,2016-12-01,"1,12","6,00"
MEM-ORL,2016-12-01,"2,40","1,55"
UTA-MIA,2016-12-01,"1,25","3,80"
ATL-DET,2016-12-02,"1,70","2,10"
BOS-SAC,2016-12-02,"1,35","3,10"
CHI-CLE,2016-12-02,"2,05","1,75"
DEN-HOU,2016-12-02,"1,60","2,30"
NOP-LAC,2016-12-02,"2,55","1,50"
NYK-MIN,2016-12-02,"2,10","1,70"
PHI-ORL,2016-12-02,"1,80","2,00"
SAS-WAS,2016-12-02,"1,18","4,70"
TOR-LAL,2016-12-02,"1,17","4,80"
CHO-MIN,2016-12-03,"1,35","3,10"
DAL-CHI,2016-12-03,"2,30","1,60"
GSW-PHO,2016-12-03,"1,01",15
MEM-LAL,2016-12-03,"1,70","2,10"
MIL-BRK,2016-12-03,"1,20","4,50"
PHI-BOS,2016-12-03,"4,70","1,18"
POR-MIA,2016-12-03,"1,40","2,90"
TOR-ATL,2016-12-03,"1,22","4,20"
UTA-DEN,2016-12-03,"1,35","3,10"
DET-ORL,2016-12-04,"1,27","3,70"
LAC-IND,2016-12-04,"1,10","6,50"
NYK-SAC,2016-12-04,"1,75","2,05"
OKC-NOP,2016-12-04,"1,35","3,10"
ATL-OKC,2016-12-05,"1,50","2,50"
BRK-WAS,2016-12-05,"2,90","1,40"
CHI-POR,2016-12-05,"1,55","2,40"
DAL-CHO,2016-12-05,"2,40","1,55"
GSW-IND,2016-12-05,"1,05","9,00"
HOU-BOS,2016-12-05,"1,45","2,70"
LAL-UTA,2016-12-05,"2,50","1,50"
MIL-SAS,2016-12-05,"2,90","1,40"
NOP-MEM,2016-12-05,"1,50","2,55"
PHI-DEN,2016-12-05,"2,55","1,50"
TOR-CLE,2016-12-05,"1,80","2,00"
DET-CHI,2016-12-06,"1,40","2,90"
MEM-PHI,2016-12-06,"1,27","3,60"
MIA-NYK,2016-12-06,"1,75","2,00"
MIN-SAS,2016-12-06,"2,40","1,55"
UTA-PHO,2016-12-06,"1,30","3,40"
WAS-ORL,2016-12-06,"1,60","2,30"
ATL-MIA,2016-12-07,"1,17","4,80"
BRK-DEN,2016-12-07,"2,55","1,50"
CHO-DET,2016-12-07,"1,40","2,90"
DAL-SAC,2016-12-07,"2,30","1,60"
HOU-LAL,2016-12-07,"1,05","9,00"
LAC-GSW,2016-12-07,"2,40","1,55"
MIL-POR,2016-12-07,"1,80","2,00"
NYK-CLE,2016-12-07,"4,20","1,22"
ORL-BOS,2016-12-07,"2,00","1,70"
PHO-IND,2016-12-07,"2,40","1,55"
CHI-SAS,2016-12-08,"2,40","1,55"
MEM-POR,2016-12-08,"2,20","1,60"
NOP-PHI,2016-12-08,"1,35","3,20"
TOR-MIN,2016-12-08,"1,20","4,40"
UTA-GSW,2016-12-08,"6,00","1,12"
WAS-DEN,2016-12-08,"1,40","2,90"
BOS-TOR,2016-12-09,"1,75","2,05"
CHO-ORL,2016-12-09,"1,27","3,70"
CLE-MIA,2016-12-09,"1,08","7,50"
DAL-IND,2016-12-09,"2,40","1,55"
LAL-PHO,2016-12-09,"1,80","2,00"
MIL-ATL,2016-12-09,"1,65","2,20"
MIN-DET,2016-12-09,"2,30","1,60"
OKC-HOU,2016-12-09,"2,00","1,80"
SAC-NYK,2016-12-09,"1,40","2,70"
CHI-MIA,2016-12-10,"1,17","4,80"
CLE-CHO,2016-12-10,"1,28","3,60"
HOU-DAL,2016-12-10,"1,05","9,00"
IND-POR,2016-12-10,"1,95","1,85"
LAC-NOP,2016-12-10,"1,03",11
MEM-GSW,2016-12-10,"8,00","1,07"
ORL-DEN,2016-12-10,"2,00","1,80"
SAS-BRK,2016-12-10,"1,03",11
UTA-SAC,2016-12-10,"1,40","2,90"
WAS-MIL,2016-12-10,"1,50","2,55"
DET-PHI,2016-12-11,"1,07","8,00"
LAL-NYK,2016-12-11,"2,20","1,65"
MIN-GSW,2016-12-11,"5,20","1,15"
OKC-BOS,2016-12-11,"1,60","2,30"
PHO-NOP,2016-12-11,"1,70","2,10"
DAL-DEN,2016-12-12,"2,20","1,65"
HOU-BRK,2016-12-12,"1,07","8,00"
IND-CHO,2016-12-12,"1,95","1,85"
LAC-POR,2016-12-12,"1,15","5,20"
MIA-WAS,2016-12-12,"2,00","1,80"
SAC-LAL,2016-12-12,"1,25","3,80"
TOR-MIL,2016-12-12,"1,27","3,70"
ATL-ORL,2016-12-13,"1,22","4,10"
CHI-MIN,2016-12-13,"1,40","2,90"
CLE-MEM,2016-12-13,"1,05","9,00"
NOP-GSW,2016-12-13,"5,20","1,15"
PHO-NYK,2016-12-13,"2,10","1,70"
POR-OKC,2016-12-13,"1,75","2,05"
BRK-LAL,2016-12-14,"2,00","1,80"
DAL-DET,2016-12-14,"2,70","1,45"
HOU-SAC,2016-12-14,"1,07","8,00"
MEM-CLE,2016-12-14,"1,30","3,20"
MIA-IND,2016-12-14,"1,95","1,85"
ORL-LAC,2016-12-14,"4,20","1,22"
PHI-TOR,2016-12-14,"4,20","1,22"
SAS-BOS,2016-12-14,"1,35","3,10"
UTA-OKC,2016-12-14,"1,30","3,40"
WAS-CHO,2016-12-14,"2,10","1,75"
DEN-POR,2016-12-15,"1,65","2,20"
GSW-NYK,2016-12-15,"1,03",11
MIL-CHI,2016-12-15,"1,90","1,90"
NOP-IND,2016-12-15,"1,70","2,10"
PHO-SAS,2016-12-15,"3,70","1,27"
BOS-CHO,2016-12-16,"1,35","3,10"
CHI-MIL,2016-12-16,"1,40","2,90"
HOU-NOP,2016-12-16,"1,08","7,50"
MEM-SAC,2016-12-16,"1,42","2,80"
MIA-LAC,2016-12-16,"3,60","1,28"
ORL-BRK,2016-12-16,"1,30","3,40"
PHI-LAL,2016-12-16,"1,90","1,90"
TOR-ATL,2016-12-16,"1,30","3,40"
UTA-DAL,2016-12-16,"1,12","6,00"
WAS-DET,2016-12-16,"2,00","1,80"
ATL-CHO,2016-12-17,"1,70","2,10"
CLE-LAL,2016-12-17,"1,03",11
DEN-NYK,2016-12-17,"1,55","2,40"
DET-IND,2016-12-17,"1,45","2,70"
GSW-POR,2016-12-17,"1,05","9,00"
MIN-HOU,2016-12-17,"2,30","1,60"
OKC-PHO,2016-12-17,"1,35","3,10"
DAL-SAC,2016-12-18,"1,85","1,95"
MEM-UTA,2016-12-18,"2,00","1,80"
MIA-BOS,2016-12-18,"2,55","1,50"
ORL-TOR,2016-12-18,"2,90","1,40"
PHI-BRK,2016-12-18,"1,80","2,00"
SAS-NOP,2016-12-18,"1,10","6,50"
WAS-LAC,2016-12-18,"2,70","1,45"
CHI-DET,2016-12-19,"1,65","2,20"
DEN-DAL,2016-12-19,"1,25","3,80"
IND-WAS,2016-12-19,"1,40","2,90"
MIN-PHO,2016-12-19,"1,40","2,90"
OKC-ATL,2016-12-19,"1,65","2,20"
CHO-LAL,2016-12-20,"1,22","4,20"
GSW-UTA,2016-12-20,"1,07","8,00"
HOU-SAS,2016-12-20,"1,95","1,85"
LAC-DEN,2016-12-20,"1,25","3,80"
MEM-BOS,2016-12-20,"2,10","1,70"
MIA-ORL,2016-12-20,"1,55","2,40"
MIL-CLE,2016-12-20,"2,40","1,55"
NYK-IND,2016-12-20,"1,50","2,55"
PHI-NOP,2016-12-20,"2,30","1,60"
SAC-POR,2016-12-20,"1,90","1,90"
TOR-BRK,2016-12-20,"1,03",11
ATL-MIN,2016-12-21,"1,50","2,40"
CHI-WAS,2016-12-21,"1,55","2,40"
CLE-MIL,2016-12-21,"1,30","3,20"
DET-MEM,2016-12-21,"1,35","3,10"
NOP-OKC,2016-12-21,"2,10","1,70"
PHO-HOU,2016-12-21,"3,10","1,35"
POR-DAL,2016-12-21,"1,40","2,90"
UTA-SAC,2016-12-21,"1,22","4,20"
BRK-GSW,2016-12-22,"9,00","1,05"
IND-BOS,2016-12-22,"1,95","1,85"
LAC-SAS,2016-12-22,"2,10","1,75"
MIA-LAL,2016-12-22,"1,40","2,90"
NYK-ORL,2016-12-22,"1,50","2,55"
BOS-OKC,2016-12-23,"1,40","2,70"
CHO-CHI,2016-12-23,"1,50","2,55"
CLE-BRK,2016-12-23,"1,02",12
DEN-ATL,2016-12-23,"1,40","2,70"
DET-GSW,2016-12-23,"3,80","1,25"
LAC-DAL,2016-12-23,"1,45","2,60"
MEM-HOU,2016-12-23,"2,40","1,55"
MIL-WAS,2016-12-23,"1,65","2,20"
MIN-SAC,2016-12-23,"1,45","2,70"
NOP-MIA,2016-12-23,"1,45","2,70"
ORL-LAL,2016-12-23,"1,45","2,70"
PHO-PHI,2016-12-23,"1,45","2,60"
POR-SAS,2016-12-23,"2,10","1,70"
UTA-TOR,2016-12-23,"2,00","1,80"
CLE-GSW,2016-12-25,"2,30","1,60"
LAL-LAC,2016-12-25,"2,30","1,55"
NYK-BOS,2016-12-25,"2,10","1,70"
OKC-MIN,2016-12-25,"1,50","2,55"
SAS-CHI,2016-12-25,"1,20","4,50"
BRK-CHO,2016-12-26,"3,30","1,32"
CHI-IND,2016-12-26,"1,70","2,10"
DET-CLE,2016-12-26,"1,50","2,50"
HOU-PHO,2016-12-26,"1,07","8,00"
LAC-DEN,2016-12-26,"2,50","1,50"
MIN-ATL,2016-12-26,"2,00","1,80"
NOP-DAL,2016-12-26,"1,55","2,40"
ORL-MEM,2016-12-26,"2,20","1,65"
POR-TOR,2016-12-26,"3,80","1,25"
SAC-PHI,2016-12-26,"1,20","4,10"
WAS-MIL,2016-12-26,"1,65","2,25"
BOS-MEM,2016-12-27,"1,30","3,40"
DAL-HOU,2016-12-27,"2,70","1,45"
LAL-UTA,2016-12-27,"2,70","1,45"
MIA-OKC,2016-12-27,"2,60","1,50"
ATL-NYK,2016-12-28,"1,45","2,70"
CHI-BRK,2016-12-28,"1,18","4,80"
DEN-MIN,2016-12-28,"1,50","2,55"
DET-MIL,2016-12-28,"1,65","2,20"
GSW-TOR,2016-12-28,"1,17","4,80"
NOP-LAC,2016-12-28,"1,95","1,75"
ORL-CHO,2016-12-28,"2,55","1,50"
POR-SAC,2016-12-28,"1,80","2,00"
SAS-PHO,2016-12-28,"1,09","7,00"
WAS-IND,2016-12-28,"1,50","2,55"
CHO-MIA,2016-12-29,"1,32","3,30"
CLE-BOS,2016-12-29,"1,35","3,10"
