date_game,games,face_to_face,pts,opp_pts,game_streak,win_ratio,overtimes,time_between_games,3ast,3tov,3fg,3fga,3fg3,3fg3a,3ft,3fta,3orb,3drb,3stl,3blk,3pf,3plus_minus,8ast,8tov,8fg,8fga,8fg3,8fg3a,8ft,8fta,8orb,8drb,8stl,8blk,8pf,8plus_minus,BRK,PHI,MIL,CHI,CLE,BOS,LAC,MEM,ATL,MIA,CHO,UTA,SAC,NYK,LAL,ORL,DAL,DEN,IND,NOP,DET,TOR,HOU,SAS,PHO,OKC,MIN,POR,GSW,WAS,game_result
2016-10-27,SAC-SAS,0.0,0.2557078055073144,0.4166666666666667,0.5,1.0,0.6666666666666666,0.5833333333333334,0.4646464646464647,0.4848484848484848,0.4157303370786517,0.17777777777777778,0.32142857142857145,0.4245810055865921,0.39000000000000007,0.5423728813559322,0.0,0.441860465116279,0.08737864077669902,0.6,0.5465116279069767,0.4204946996466431,0.4482758620689655,0.432258064516129,0.35374149659863946,0.08396946564885496,0.19047619047619047,0.4105263157894737,0.3402061855670103,0.45454545454545453,0.0,0.42857142857142855,0.0967741935483871,0.5833333333333334,0.5089766606822262,0.3382352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2016-10-28,BRK-IND,0.0,0.29680369162324965,0.5138888888888888,0.4230769230769231,0.0,0.5,0.6666666666666666,0.2525252525252526,0.4848484848484848,0.38202247191011235,0.5333333333333333,0.7142857142857143,0.8938547486033518,0.21000000000000002,0.18644067796610175,0.7714285714285715,0.023255813953488292,0.3786407766990291,0.26666666666666666,0.37209302325581395,0.3780918727915194,0.20689655172413793,0.432258064516129,0.29931972789115646,0.5725190839694656,0.7142857142857143,1.0,0.09278350515463918,0.030303030303030304,0.9171974522292994,0.0,0.41935483870967744,0.16666666666666666,0.25763016157989227,0.27941176470588236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-10-28,DAL-HOU,0.0,0.5707762657294845,0.6388888888888888,0.5,0.0,0.8333333333333334,0.6666666666666666,0.4040404040404041,0.5303030303030303,0.550561797752809,0.8444444444444444,0.9285714285714286,0.7932960893854747,0.33000000000000007,0.31355932203389836,0.4714285714285715,0.8953488372093024,0.4368932038834951,0.9333333333333333,0.6511627906976744,0.49469964664310956,0.3793103448275862,0.4838709677419355,0.5714285714285714,1.0,1.0,0.8736842105263158,0.25773195876288657,0.18181818181818182,0.5605095541401274,0.8928571428571429,0.4838709677419355,1.0,0.6597845601436266,0.4411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2016-10-28,DET-ORL,0.0,0.4063927212657436,0.5138888888888888,0.5,0.0,0.6666666666666666,0.6666666666666666,0.4040404040404041,0.5757575757575757,0.550561797752809,0.3333333333333333,0.4642857142857143,0.541899441340782,0.36000000000000004,0.3898305084745763,0.17142857142857143,0.6162790697674418,0.7281553398058251,0.2,0.8255813953488371,0.4628975265017668,0.3793103448275862,0.535483870967742,0.5714285714285714,0.29770992366412213,0.38095238095238093,0.5578947368421052,0.29896907216494845,0.2727272727272727,0.20382165605095542,0.6071428571428571,0.8064516129032258,0.08333333333333333,0.9111310592459605,0.39705882352941174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-10-28,MIA-CHO,0.0,0.488584493497614,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.49494949494949503,0.4848484848484848,0.752808988764045,0.6222222222222222,0.42857142857142855,0.35754189944134074,0.21000000000000002,0.33898305084745767,0.6857142857142857,0.40697674418604646,0.5533980582524272,0.26666666666666666,0.5116279069767441,0.5371024734982333,0.4827586206896552,0.432258064516129,0.8979591836734694,0.6946564885496184,0.3333333333333333,0.3263157894736842,0.09278350515463918,0.21212121212121213,0.8152866242038217,0.39285714285714285,0.6129032258064516,0.16666666666666666,0.45870736086175945,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2016-10-28,NOP-GSW,0.0,0.5022831222029258,0.19444444444444445,0.5,0.0,0.6666666666666666,0.5833333333333334,0.7070707070707072,0.25757575757575757,0.449438202247191,0.6,0.39285714285714285,0.2402234636871508,0.8100000000000002,0.7457627118644068,0.34285714285714286,0.5813953488372092,0.8446601941747572,0.4,0.8604651162790696,0.7809187279151943,0.7241379310344828,0.17419354838709677,0.40816326530612246,0.6641221374045801,0.2857142857142857,0.17894736842105263,0.9175257731958762,0.696969696969697,0.40764331210191085,0.5714285714285714,0.9354838709677419,0.3333333333333333,0.9614003590664273,0.8382352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2016-10-28,OKC-PHO,0.0,0.598173523140108,0.2777777777777778,0.5769230769230769,1.0,0.6666666666666666,0.6666666666666666,0.4646464646464647,0.12121212121212119,0.6179775280898876,0.8222222222222222,0.6071428571428571,0.5754189944134077,0.54,0.516949152542373,0.6,0.8604651162790697,0.6116504854368932,0.4666666666666667,0.3023255813953488,0.7915194346289753,0.4482758620689655,0.01935483870967742,0.6802721088435374,0.9694656488549618,0.5714285714285714,0.6,0.5463917525773195,0.42424242424242425,0.7133757961783439,0.8571428571428571,0.6774193548387096,0.4166666666666667,0.1570915619389587,0.8529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0
2016-10-28,TOR-CLE,0.0,0.3652968351498084,0.5416666666666666,0.5,1.0,0.6666666666666666,0.5833333333333334,0.07070707070707077,0.34848484848484845,0.38202247191011235,0.26666666666666666,0.17857142857142858,0.18994413407821226,0.8100000000000002,0.7966101694915254,0.6,0.441860465116279,0.3203883495145631,0.13333333333333333,0.5116279069767441,0.40989399293286216,0.0,0.27741935483870966,0.29931972789115646,0.20610687022900764,0.0,0.11578947368421053,0.9175257731958762,0.7575757575757576,0.7133757961783439,0.42857142857142855,0.3548387096774194,0.0,0.45870736086175945,0.3235294117647059,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2016-10-28,UTA-LAL,0.0,0.2557078055073144,0.4861111111111111,0.4230769230769231,0.0,0.6666666666666666,0.75,0.4343434343434344,0.303030303030303,0.348314606741573,0.28888888888888886,0.39285714285714285,0.29050279329608936,0.45000000000000007,0.3898305084745763,0.2571428571428572,0.441860465116279,0.4951456310679611,0.5333333333333333,0.3372093023255814,0.3674911660777385,0.41379310344827586,0.22580645161290322,0.24489795918367346,0.2366412213740458,0.2857142857142857,0.24210526315789474,0.422680412371134,0.2727272727272727,0.3057324840764331,0.42857142857142855,0.5483870967741935,0.5,0.2073608617594255,0.2647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-10-29,CHI-IND,0.0,0.3789954638551201,0.3194444444444444,0.5769230769230769,1.0,0.6666666666666666,0.75,0.4646464646464647,0.37121212121212116,0.3146067415730337,0.36666666666666664,0.625,0.5335195530726257,0.5850000000000001,0.6186440677966102,0.7714285714285715,0.4593023255813953,0.3203883495145631,0.13333333333333333,0.45930232558139533,0.5901060070671378,0.4482758620689655,0.3032258064516129,0.19047619047619047,0.3435114503816794,0.5952380952380952,0.5473684210526316,0.6082474226804123,0.5454545454545454,0.9171974522292994,0.44642857142857145,0.3548387096774194,0.0,0.38330341113105926,0.5735294117647058,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
