date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Mon, Mar 26, 2001",@,W,10:30p,W 1,27,Golden State Warriors,87,OT,89,42
"Tue, Mar 27, 2001",@,L,10:30p,L 1,28,Sacramento Kings,124,OT,117,42
"Thu, Mar 29, 2001",@,L,10:00p,L 2,29,Vancouver Grizzlies,89,,68,42
"Fri, Mar 30, 2001",@,L,10:00p,L 3,30,Portland Trail Blazers,96,,79,42
"Sun, Apr 1, 2001",@,W,5:30p,W 1,30,Los Angeles Lakers,78,,79,43
"Tue, Apr 3, 2001",,W,7:30p,W 2,30,Orlando Magic,82,,94,44
"Thu, Apr 5, 2001",,W,7:30p,W 3,30,Washington Wizards,80,,93,45
"Sun, Apr 8, 2001",@,L,12:30p,L 1,31,Miami Heat,81,,76,45
"Mon, Apr 9, 2001",,W,7:30p,W 1,31,Charlotte Hornets,98,,113,46
"Wed, Apr 11, 2001",@,L,8:00p,L 1,32,Indiana Pacers,100,,93,46
"Fri, Apr 13, 2001",,W,7:30p,W 1,32,Atlanta Hawks,65,,101,47
"Sun, Apr 15, 2001",@,L,12:30p,L 1,33,Philadelphia 76ers,89,,82,47
"Mon, Apr 16, 2001",@,L,7:30p,L 2,34,Cleveland Cavaliers,80,,78,47
"Wed, Apr 18, 2001",,W,7:30p,W 1,34,Detroit Pistons,88,,94,48
