date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Thu, Mar 22, 2001",@,W,9:00p,W 2,24,Utah Jazz,99,,101,45
"Mon, Mar 26, 2001",,W,10:00p,W 3,24,Los Angeles Clippers,96,,104,46
"Wed, Mar 28, 2001",,L,10:00p,L 1,25,Dallas Mavericks,94,,84,46
"Fri, Mar 30, 2001",,W,10:00p,W 1,25,New York Knicks,79,,96,47
"Sun, Apr 1, 2001",,L,3:00p,L 1,26,Minnesota Timberwolves,99,,95,47
"Tue, Apr 3, 2001",@,L,9:00p,L 2,27,Denver Nuggets,94,,92,47
"Wed, Apr 4, 2001",@,L,8:00p,L 3,28,Minnesota Timberwolves,83,,79,47
"Fri, Apr 6, 2001",@,W,10:30p,W 1,28,Golden State Warriors,91,,122,48
"Sun, Apr 8, 2001",@,L,3:00p,L 1,29,Sacramento Kings,98,,89,48
"Tue, Apr 10, 2001",,W,10:00p,W 1,29,Golden State Warriors,88,,116,49
"Thu, Apr 12, 2001",@,W,10:00p,W 2,29,Vancouver Grizzlies,87,,100,50
"Fri, Apr 13, 2001",,L,10:00p,L 1,30,Houston Rockets,109,,103,50
"Sun, Apr 15, 2001",@,L,5:30p,L 2,31,Los Angeles Lakers,105,,100,50
"Tue, Apr 17, 2001",,L,9:00p,L 3,32,San Antonio Spurs,99,,93,50
