games,date_game,odd_home_team,odd_away_team
CLE-BOS,2017-10-17,"1,45","2,70"
GSW-HOU,2017-10-17,"1,20","4,50"
BOS-MIL,2017-10-18,"1,75","2,00"
DAL-ATL,2017-10-18,"1,45","2,70"
DET-CHO,2017-10-18,"1,65","2,20"
IND-BRK,2017-10-18,"1,65","2,20"
MEM-NOP,2017-10-18,"1,75","2,05"
ORL-MIA,2017-10-18,"2,40","1,55"
PHO-POR,2017-10-18,"2,10","1,70"
SAC-HOU,2017-10-18,"3,40","1,30"
SAS-MIN,2017-10-18,"1,80","2,00"
UTA-DEN,2017-10-18,"1,65","2,20"
WAS-PHI,2017-10-18,"1,35","3,10"
LAL-LAC,2017-10-19,"2,90","1,40"
OKC-NYK,2017-10-19,"1,10","6,50"
TOR-CHI,2017-10-19,"1,07","8,00"
BRK-ORL,2017-10-20,"1,75","2,05"
CHO-ATL,2017-10-20,"1,50","2,55"
DAL-SAC,2017-10-20,"1,45","2,70"
IND-POR,2017-10-20,"2,80","1,42"
MIL-CLE,2017-10-20,"1,90","1,90"
MIN-UTA,2017-10-20,"1,50","2,55"
NOP-GSW,2017-10-20,"4,40","1,20"
PHI-BOS,2017-10-20,"1,65","2,20"
PHO-LAL,2017-10-20,"1,60","2,30"
WAS-DET,2017-10-20,"1,35","3,10"
CHI-SAS,2017-10-21,"5,20","1,15"
CLE-ORL,2017-10-21,"1,10","6,50"
DEN-SAC,2017-10-21,"1,13","5,70"
HOU-DAL,2017-10-21,"1,10","6,50"
LAC-PHO,2017-10-21,"1,05","9,00"
MEM-GSW,2017-10-21,"4,20","1,22"
MIA-IND,2017-10-21,"1,20","4,50"
MIL-POR,2017-10-21,"1,60","2,30"
NYK-DET,2017-10-21,"2,10","1,70"
TOR-PHI,2017-10-21,"1,22","4,20"
UTA-OKC,2017-10-21,"2,55","1,50"
BRK-ATL,2017-10-22,"1,80","2,00"
LAL-NOP,2017-10-22,"2,60","1,47"
OKC-MIN,2017-10-22,"1,50","2,55"
DAL-GSW,2017-10-23,"8,00","1,07"
DEN-WAS,2017-10-23,"1,50","2,55"
DET-PHI,2017-10-23,"1,55","2,40"
HOU-MEM,2017-10-23,"1,27","3,70"
MIA-ATL,2017-10-23,"1,10","6,50"
MIL-CHO,2017-10-23,"1,32","3,30"
PHO-SAC,2017-10-23,"2,20","1,65"
SAS-TOR,2017-10-23,"1,65","2,20"
BOS-NYK,2017-10-24,"1,30","3,40"
CLE-CHI,2017-10-24,"1,03",11
LAC-UTA,2017-10-24,"1,45","2,70"
MIN-IND,2017-10-24,"1,11","6,00"
ORL-BRK,2017-10-24,"1,45","2,70"
POR-NOP,2017-10-24,"1,45","2,70"
BRK-CLE,2017-10-25,"3,40","1,30"
CHO-DEN,2017-10-25,"2,10","1,70"
DAL-MEM,2017-10-25,"2,30","1,57"
DET-MIN,2017-10-25,"1,70","2,10"
GSW-TOR,2017-10-25,"1,07","8,00"
LAL-WAS,2017-10-25,"2,70","1,45"
MIA-SAS,2017-10-25,"2,30","1,60"
OKC-IND,2017-10-25,"1,10","6,50"
PHI-HOU,2017-10-25,"2,30","1,60"
PHO-UTA,2017-10-25,"3,40","1,30"
CHI-ATL,2017-10-26,"1,70","2,10"
MEM-DAL,2017-10-26,"1,27","3,70"
MIL-BOS,2017-10-26,"1,50","2,50"
POR-LAC,2017-10-26,"1,70","2,10"
SAC-NOP,2017-10-26,"1,85","1,95"
ATL-DEN,2017-10-27,"3,10","1,35"
CHO-HOU,2017-10-27,"2,30","1,60"
GSW-WAS,2017-10-27,"1,10","6,50"
LAL-TOR,2017-10-27,"2,90","1,40"
MIN-OKC,2017-10-27,"2,10","1,70"
NYK-BRK,2017-10-27,"1,70","2,10"
ORL-SAS,2017-10-27,"2,70","1,45"
CHI-OKC,2017-10-28,"3,80","1,25"
DAL-PHI,2017-10-28,"1,95","1,85"
LAC-DET,2017-10-28,"1,25","3,80"
MEM-HOU,2017-10-28,"1,75","2,00"
MIA-BOS,2017-10-28,"1,95","1,85"
NOP-CLE,2017-10-28,"2,20","1,65"
POR-PHO,2017-10-28,"1,10","6,50"
UTA-LAL,2017-10-28,"1,13","5,70"
ATL-MIL,2017-10-29,"3,00","1,40"
BRK-DEN,2017-10-29,"2,70","1,45"
CHO-ORL,2017-10-29,"1,60","2,30"
CLE-NYK,2017-10-29,"1,15","5,20"
GSW-DET,2017-10-29,"1,07","8,00"
IND-SAS,2017-10-29,"3,10","1,35"
SAC-WAS,2017-10-29,"3,10","1,35"
BOS-SAS,2017-10-30,"1,55","2,40"
HOU-PHI,2017-10-30,"1,35","3,10"
LAC-GSW,2017-10-30,"2,70","1,45"
MEM-CHO,2017-10-30,"1,50","2,55"
MIA-MIN,2017-10-30,"2,20","1,65"
NOP-ORL,2017-10-30,"1,30","3,40"
NYK-DEN,2017-10-30,"2,55","1,50"
POR-TOR,2017-10-30,"1,55","2,40"
UTA-DAL,2017-10-30,"1,25","3,80"
BRK-PHO,2017-10-31,"1,50","2,55"
IND-SAC,2017-10-31,"1,40","2,90"
LAL-DET,2017-10-31,"2,30","1,60"
MIL-OKC,2017-10-31,"2,05","1,75"
BOS-SAC,2017-11-01,"1,08","7,50"
CHO-MIL,2017-11-01,"1,55","2,40"
CLE-IND,2017-11-01,"1,17","4,80"
DEN-TOR,2017-11-01,"1,75","2,05"
LAC-DAL,2017-11-01,"1,17","4,80"
MEM-ORL,2017-11-01,"1,65","2,20"
MIA-CHI,2017-11-01,"1,17","4,90"
NOP-MIN,2017-11-01,"1,70","2,10"
NYK-HOU,2017-11-01,"2,90","1,40"
PHI-ATL,2017-11-01,"1,27","3,70"
UTA-POR,2017-11-01,"1,55","2,40"
WAS-PHO,2017-11-01,"1,13","5,70"
POR-LAL,2017-11-02,"1,37","3,00"
SAS-GSW,2017-11-02,"3,60","1,28"
ATL-HOU,2017-11-03,"4,20","1,22"
DAL-NOP,2017-11-03,"2,55","1,50"
DEN-MIA,2017-11-03,"1,40","2,90"
DET-MIL,2017-11-03,"1,75","2,05"
LAL-BRK,2017-11-03,"1,65","2,20"
NYK-PHO,2017-11-03,"1,55","2,40"
OKC-BOS,2017-11-03,"1,40","2,90"
ORL-CHI,2017-11-03,"1,25","3,80"
PHI-IND,2017-11-03,"1,50","2,55"
SAS-CHO,2017-11-03,"1,50","2,55"
UTA-TOR,2017-11-03,"1,75","2,05"
WAS-CLE,2017-11-03,"1,65","2,20"
CHI-NOP,2017-11-04,"2,70","1,45"
DEN-GSW,2017-11-04,"3,80","1,25"
DET-SAC,2017-11-04,"1,25","3,80"
LAC-MEM,2017-11-04,"1,45","2,70"
MIN-DAL,2017-11-04,"1,08","7,50"
CLE-ATL,2017-11-05,"1,10","6,50"
HOU-UTA,2017-11-05,"1,40","2,90"
LAC-MIA,2017-11-05,"1,45","2,70"
LAL-MEM,2017-11-05,"2,10","1,70"
MIN-CHO,2017-11-05,"1,45","2,70"
NYK-IND,2017-11-05,"1,90","1,90"
ORL-BOS,2017-11-05,"2,30","1,60"
POR-OKC,2017-11-05,"2,20","1,65"
